'umra	umrah
cougar	puma | singa gunung | tante girang
cough	batuk
coulomb	coulomb
coulter	pisau
council	dewan | konsil | majelis
councillor	menasehat
counsel	menasehat
counseling	konseling
counselor	konselor
count	hitung | menghitung
count down	berhitung
count on	berhitung
countability	keterhitungan
countable	terhitung
countdown	hitung mundur
countenance	air muka
counter	loket
counter-attack	serangan balik
counterculture	pemberontakan budaya
counterespionage	kontra-intelijen | kontraspionase
counterfeit	palsu | memalsukan | meniru | tiruan
counterpart	sementera
counterpoint	kontrapung
counterproductive	kontraproduktif
counterrevolution	kontra revolusi
countertop	daun meja
counting	penghitungan
country	negara | bangsa | desa
countryman	penduduk
countryside	daerah pedesaan
county	county
coup	kudeta
coup d'état	kudeta
couple	pasangan
couplet	bait | kuplet | untai
coupling	ketergantungan
coupon	bagus
courage	keberanian
courageous	berani
courageousness	arwah
courgette	zukini
courier	kurir
course	kursus | program studi
course credit	SKS | satuan kredit semester
coursework	beban kuliah
court	pengadilan | lapangan | istana | gelanggang | mahkamah | sidang
court card	pelukis
court jester	badut
court martial	pengadilan militer
court of law	pengadilan
courteous	sopan
courtesy	adab
courtesy of	dengan
courtship	halaman
courtyard	halaman
cousin	sepupu
couth	canggih
covalent bond	ikatan kovalen
covariance	kovarians | kovariansi
cove	gua
covenant	perjanjian
cover	menutup | tutup | sampul | tudung | lingkup
cover letter	surat pengantar
cover story	tudung
cover up	tutup-tutupi
coverage	tudung
covered	tertutup
covert	bawah tanah
covet	birahi
covetous	kikir
covidiot	covidtolol | kovidungu
cow	sapi | lembu
coward	pengecut
cowardice	kepengecutan
cowardly	kepengecutan
cowbell	mainan bayi
cowcatcher	penghalau rintangan
cowgirl position	Andromakhe
cowling	tudung
coworker	kolega
coy	sipu
coyote	koyote
crab	kepiting | ketam
crab mentality	mentalitas kepiting
crabstick	stik kepiting
crack	kertak
crack up	tertawa
crackdown	penggrebekan
cracking	perengkahan
crackpot	gila
cradle	buaian
craft	akal
craftiness	akal
craftsman	tukang
crafty	cerdik
cram	mengasak
cram school	bimbel
cramp	kejang | keram
cramped	erat
crampon	kucing
cranberry	kranberi
crane	bangau | katrol | kran
cranefly	penjahit
crank	lengan
crank up	menyunting
crankshaft	bandul | kruk as | poros engkol
cranny	retak
crap	tahi
crape myrtle	bungur
crapper	singgasana
crapula	kemabukan
crash	kecelakaan
crash helmet	helm
crass	kasar
crate	krat
crater	kawah
crave	birahi
craw	bengok
crawl	gaya bebas
cray-cray	gila
craye	burung gagak
crayfish	udang karang
craze	demam
craziness	kegilaan
crazy	gila
creak	bekertak
cream	kepala susu | krim | rum | krem | cream
cream of the crop	kaymak
cream puff	kue sus
creamer	krimer
crease	kedut
create	menciptakan | membikin | membuat
creatine	kreatin
creatinine	kreatinina
creation	ciptaan | penciptaan
creationism	kreasionisme
creativity	kreativitas
creator	kreator | pencipta
creature	makhluk
credibility	keterpercayaan | kredibilitas
credit	gugu | percaya | pertimbang | SKS | pulsa | satuan kredit semester
credit card	kartu kredit
creditor	bahasa inggris
creek	selokan
creek bed	tempat
creep	melata
creeper	reptil
cremation	kremasi
creole	bahasa kreol
creolin	kreolin
crepe	kurus
crepe rubber	crêpe rubber
crepitation	krepitasi
crepuscule	senja
crescendo	crescendo
crescent moon	bulan sabit
cress	selada air
crest	gombak | jambak | jambul
crestfallen	kecewa
crevasse	jurang es
crevice	celah
crew	awak
cri du chat syndrome	sindrom Lejeune
crib	ayun
cricket	belalang
crime	kejahatan | pelanggaran | pelanggaran hukum | kriminalitas | jahat
crime against humanity	kejahatan kemanusiaan | kejahatan terhadap umat manusia
crime scene	tempat kejadian perkara
criminal	jahat | kriminal | bajingan | melanggar hukum
criminal law	hukum pidana
criminal record	catatan kepolisian | catatan kriminal
criminality	kejahatan
criminology	kriminologi
crimson	merah padam
cripple	menghancurkan
crisis	krisis
crisp	apik
crispy	garing
crisscross	serang-serong | menyilang
criterion	kriteria | kriterium
critic	kritik
critical	kritis
critical thinking	berpikir kritis | pemikiran kritis
criticize	mengiktirad | mengkritik
critter	binatang
croak	menguak
crock	pot
crocodile	buaya
crocodile tear	air mata buaya
croissant	kroisan | roti bulan sabit | roti sabit
crone	tukang sihir
crony	kroni
cronyism	kronisme
crook	maling | bajingan
crooked	bengkok
crop	tembolok
crop circle	lingkaran tanaman
crop up	muncul
croquette	kroket
crosier	gagang pistol
cross	salib | silang | tanda salib | biak silang | penyilangan
cross out	mencoret
cross someone's palm	bayar
cross-dresser	banci
cross-dressing	berlintas-busana
cross-eyed	juling
crossbreeding	persilangan
crosse	gagang pistol
crossguard	piket
crosshatch	mengarsir
crossing	persilangan | persimpangan
crossroads	persilangan
crosswalk	jalur pejalan kaki
crosswind	angin silang
crossword	teka-teki silang
crosswords	teka-teki silang
crotch	kelangkang
croton	puring
croupier	bandar
crow	burung gagak | gagak
crowbar	linggis
crowd	himpunan
crowdfunding	patungan | urun dana
crowdsourcing	urun daya
crown	mahkota
crown flower	biduri | widuri
crown of thorns	mahkota duri
crown prince	putra mahkota
crown princess	putri mahkota
crucial	krusial
crucian carp	kupu-kupu
crucifix	salib | crucifix
crucify	menyalib
crud	tahi
crude	mentah
crude oil	minyak mentah
cruel	kejam | tega
cruelty	kejahatan
cruft	sampah
cruise missile	peluru kendali jelajah
cruise ship	kapal pesiar
cruiser	kapal penjelajah
crumb	remahan
crumple	lecek
crunch	kertak
crunchy	renyah
crusade	Perang Salib
crusader	Kroasia
crush	gebetan | hancur | lumat | remuk | tumbuk
crust	kerak
crutch	kruk
crux	kegaiban
cry	menangis | tangis | menjerit
cry out	bentak
crybaby	cengeng
crying	tangisan
cryogenics	kriogenik
cryovolcano	kriovolkano
cryptic	ajaib
cryptogam	kriptogam
cryptography	kriptografi
cryptomnesia	kriptomnesia
cryptovirus	virus enkripsi
crystal	kristal
crystal habit	perawakan kristal
crystal system	keluarga kristal
crystallize	direalisasikan
crème de la crème	crème de la crème
cub	kecil
cube	kubus
cubeb	kemukus
cubic metre	kubus
cubit	dzira'
cuboid	balok
cuckoo	guguk
cucumber	ketimun | mentimun | timun
cucumiform	ketimun
cuddle	berpelukan | pelukan
cue	ki
cuff	manset
cuff on the ear	tamparan
cuisine	hidangan | kuliner | masakan
cul-de-sac	beasiswa
culinary	kuliner
culinary art	dapur
culottes	kulot
culpable	bersalah
culprit	pelaku | pembuat ulah
cult	sekte
cult film	film kultus
cult of personality	kultus individu
cultivar	kultivar
cultivation	budidaya | kultivasi
cultivator	penanam
cultural	kultural
cultural Marxism	marxisme budaya
cultural anthropology	antropologi budaya
cultural imperialism	imperialisme budaya
culture	budaya
culture hero	pahlawan budaya
culture shock	kejutan budaya
culture war	perang budaya
culvert	selokan
cum	crot | keluar | peju
cum laude	bagus
cumber	adang
cumbersome	sukar
cumin	jintan putih
cummingtonite	cummingtonit
cumulative	kumulatif
cumulus	awan
cuneiform	aksara paku
cunnilingus	jilmek
cunning	cerdik
cunningly	cerdik
cunt	tempik | memek | meki | bajingan | bangsat | keparat
cup	cangkir
cupboard	lemari
cupcake	cupcake
cupful	cangkir
cupola	kubah
cur	anjing
curate	ayah
curative	kuratif
curator	kurator
curatorship	komite
curaçao	Curaçao
curb	membendung
cure	menyembuhkan
curettage	kuretase
curette	kuret
curfew	jam malam
curiosity	keingintahuan
curium	kurium
curl	bergulung
curl up	meringkuk
curlew	gajahan erasia
curling	curling
curly bracket	kurawal | kurung kurawal
curly kale	kubis keriting
curmudgeon	lama
currency	mata uang | valuta
current	arus
current account	akun berjalan | akun perhitungan
current asset	aktiva lancar | aset lancar
current events	kontemporer
currently	sedang | sekarang
curry	kari
curry favor	meleceh
curry leaf	daun salam koja
curry powder	bubuk kari
curse	kutuk | kutukan
cursed	terkutuk
cursive	huruf sambung | kursif | miring | tulisan sambung
cursor	penanda-kini
cursorial	pelari
cursory	dangkal
curtail	kurang | potong
curtain	gorden | tirai | tabir | korden | layar | serambi
curtains	karatan
curvature	lengkungan | lekuk
curve	kurva | lengkungan
curved	lengkung
curvy	melengkung
cushion	bantal | lapik duduk
cushy	enak
cuss	bersumpah
custard	kustar
custodian	wali | marbot
custodianship	perwalian
custody	hak asuh | kustodi
custom	adat | disesuaikan | khusus | menurut pesanan | nonstandar | pribadi
custom house	kantor pabean
custom-made	disesuaikan | khusus | menurut pesanan | nonstandar | pribadi
customary	beradat
customer	pelanggan
customer service	pelayanan pelanggan
customer support	pelayanan pelanggan
customize	menyesuaikan
customs	bea
customs officer	pegawai pabean
cut	memotong | potong | iris | kerat
cut corners	cari singkat | memintas | berhemat | pelit modal
cut down	menumbangkan
cut in	babat
cut off	potong | putus
cut one's teeth	awal
cut out	mematikan
cut up	potong
cutaneous	kutaneus
cutchery	kentjoer
cute	imut
cuticle	kutikula
cutie	imut-imut
cutlery	alat makan
cutlet	kutlet
cutoff	ambang
cutter	pemangkas | pemotong
cutthroat	pembunuh
cutting	luka
cutting board	talenan
cutting edge	bilah
cuttlefish	sotong
cwm	sirkus
cyan	nilangsuka | sian
cyanide	sianida
cyanoacrylate	sianoakrilat
cyanosis	sianosis
cyberattack	serangan siber
cyberdefense	pertahanan siber
cybernetics	sibernetika
cybersecurity	keamanan siber
cyberspace	dunia maya | ruang siber
cycas	pakis haji
cycle	siklus
cycle rickshaw	becak
cyclic	siklis | siklik
cycling	sepeda
cyclist	pesepeda
cycloalkane	sikloalkana
cyclohexane	sikloheksana
cyclomatic complexity	kompleksitas siklomatik
cyclone	siklon
cyclopropane	siklopropana
cyclops	siklop
cyclotron	siklotron
cylinder	silinder | sillinder
cymbal	simbal
cynic	sinis
cynical	sinis
cynicism	kesinisan
cynophobia	sinofobia
cynosure	sasaran
cyst	kista
cysteine	sisteina
cystic fibrosis	fibrosis kistik
cytokine	sitokin
cytokine storm	badai sitokin
cytology	sitologi
cytoplasm	sitoplasma
cytoskeleton	kerangka sel
dab	raba
dabble	berenang
dace	ikan dace
dachshund	Anjing Tekel
dacrocyte	dakriosit | dakrosit
dacron	dakron
dacryocystitis	dakriosistitis
dactylography	daktilografi
dad	ayah
dadaism	dadaisme
daddy	bapak
daemon	siluman
daffodil	narsis
daft	tolo
dagger	belati | khanjar
daggertooth pike conger	malong
dahlia	dahlia
daikon	daikon | lobak
daily	harian
dainty	peka
dairy	produk susu
dale	lembah
dalgona	dalgona
dalgona coffee	kopi dalgona
dam	bendungan | empang | induk | membendung
damage	kerusakan
damages	ganti rugi
damaging	berbahaya
damask	damaskus
dame	ibu
dammit	kurang ajar | sialan | sialan bener
damn	bedebah | berengsek | brengsek | jancuk | kampret | keparat
damn it	persetan
damned	bedebah
damp	lembap
dampen	mengurapi
damping	redaman
damson	bebek
dance	tari | menari
dancer	penari
dancing	dansa
dandelion	bunga randa tapak
dander	ketombe
dandruff	ketombe | berketombe | kelemumur
dandy	baik
danger	bahaya
dangerous	berbahaya | bahaya | membahayakan
dangerously	berbahaya
dank	basah
daphne	dafnah
dapper	apik
dare	jurit malam
daredevil	gegabah
dargah	dargah
daring	keperkasaan
dark	gelap
dark chocolate	cokelat hitam
dark energy	energi gelap
dark horse	kuda hitam
dark matter	materi gelap
darkling beetle	kumbang gelap
darkness	kegelapan
darknet	jaringan gelap
darling	sayang
dart	anak panah
dartboard	papan damak
darts	damak
dash	tanda hubung
dashboard	dasbor
data	data | informasi
data centre	pusat data
data management	manajemen data
data mining	penggalian data
data processing	pengolahan data
data stream	aliran data
data structure	struktur data
data warehouse	gudang data
database	basis data | pangkalan data
database administrator	administrator pangkalan data
date	kurma | tanggal | tarikh | kencan
date of birth	tanggal lahir
date of death	tanggal kematian
date palm	pohon kurma
dated	usang | basi
dating	kencan | penanggalan
dative	datif
dative case	datif
datum	data
daub	oles
daughter	anak perempuan | putri
daughter company	anak perusahaan
daughter-in-law	menantu | menantu perempuan
dauphin	ikan lumba-lumba
dawdle	berkeluyuran
dawn	subuh | fajar
day	hari
day after tomorrow	esok lusa | lusa
day before yesterday	kemarin dulu
day care center	balai penitipan anak
daybreak	subuh
daycare	balai penitipan anak
daycare centre	balai penitipan anak
daydream	bermimpi
daydreamer	pemimpi
daylight	hari
daylight saving time	waktu musim panas
days	kehidupan
daytime	siang | siang hari
dazzle	menyilaukan
de jure	hak
de-	de-
de-escalation	deeskalasi
deacon	diaken | diakon
deactivate	menonaktifkan
dead	mati | tinggal
dead duck	bangkai
dead end	jalan buntu
dead fish	bintang laut
dead giveaway	ketahuan jelas | pertanda jelas | petunjuk jelas
dead language	bahasa mati
dead load	beban mati
dead soldier	bangkai
dead weight	berat mati
dead-end	buntu
deaden	memencilkan
deadline	batas waktu | tenggat waktu
deadly sin	dosa maut
deadman	bangkai
deaf	tuli | tuna rungu
deaf person	tuli
deafen	menulikan
deafness	ketulian
deal	tangan | kait | kelola | kocok | sepakat
deal with	memperlakukan
dealer	pedagang
dean	dekan
deanery	dekanat#Indonesia
dear	sayang
dearth	kekurangan
death	kematian | mati
death certificate	akta kematian | surat kematian
death mask	topeng kematian
death penalty	hukuman mati
death row	tempat para terpidana mati
death sentence	hukuman mati | pidana mati
death squad	skuad kematian
death threat	ancaman kematian
deathblow	bacok
deathly	mati
debar	mengecualikan
debate	debat
debit card	kartu debit
debridement	debridemen
debris	serpihan
debt	utang | berutang
debt collection	inkaso
debtor	peminjam
debug	awakutu
debugger	pengawakutu | perunut
debunk	membeberkan
debut	debut
debutant	pemula
deca-	dasa- | deka-
decade	dasawarsa | dekade | dasarian
decadence	dekadensi
decadent	dekaden
decagram	dekagram
decal	stiker
decalitre	dekaliter
decane	dekana
decantation	penyiringan
decapitation	dekapitasi | pancung | pemancungan | pemenggalan | pemenggalan kepala | pendekapitasian
decay	pelapukan | peluruhan | kemerosotan
decease	mati
deceased	almarhum | almarhumah | meninggal | mangkat | meninggal dunia | wafat
deceit	kecurangan
deceitful	palsu
deceive	mengecoh
deceiver	pendusta | penipu
decelerate	memperlambat
deceleration	perlambatan | deselerasi
decent	baik
decentralization	desentralisasi
deception	kecoh
deci-	desi-
decide	memutuskan
decidua	desidua
deciduous	mengenai peralihan
decile	desil
decimal	desimal | perpuluhan
decimal point	koma
decimetre	desimeter
decipher	memecahkan
decision	keputusan
decision making	pembuatan keputusan | pemutusan | pengambilan keputusan
decisive	kebun
deck	geladak
declaim	baca
declaration	deklarasi
declarator	pernyataan
declare	menyatakan
declension	fleksi
declinable	asing
declination	deklinasi
decline	menolak | kejatuhan | kemerosotan | merosot | menurun | kemunduran
decolonization	dekolonisasi
decomposition	dekomposisi | penguraian
decorate	menyematkan
decoration	lencana
decorous	anggun | halus | laik | layak | ramah | tahu tatakrama
decorticate	menggiling
decoy	umpan
decrease	mengurangi
decree	dekret | titah
decry	adu
decryption	dekripsi
dedicate	mengabdikan
dedication	bakti | dedikasi
deduction	deduksi
deductive	deduktif
deed	aksi
deem	memperkirakan
deep	dalam | pekat | tua
deep fryer	penggorengan
deep water	air
deep-fry	goreng rendam
deepen	memperdalam
deeply	dalam
deer	kijang | rusa | menjangan
defamation	defamasi
default	asali | bawaan
defeat	kekalahan | mengalahkan | ketewasan
defecate	buang air besar
defecation	defekasi
defect	cacat | membelot
defection	pembelotan
defector	pembelot
